measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Female,45-49 years,Diabetes mellitus type 2,Number,2019,8429.476801503768,12543.74797895281,5305.069819945484
YLDs (Years Lived with Disability),Saudi Arabia,Male,50-54 years,Diabetes mellitus type 2,Number,2019,13377.48091803053,19798.551216364667,8554.896075807996
YLDs (Years Lived with Disability),Saudi Arabia,Female,50-54 years,Diabetes mellitus type 2,Number,2019,8478.311379843988,12614.32806112977,5366.5483374710075
YLDs (Years Lived with Disability),Saudi Arabia,Male,55-59 years,Diabetes mellitus type 2,Number,2019,12812.486590356462,18721.030239736578,8293.00534936904
YLDs (Years Lived with Disability),Saudi Arabia,Female,55-59 years,Diabetes mellitus type 2,Number,2019,7917.488913987756,11381.996195567519,4998.675459875507
YLDs (Years Lived with Disability),Saudi Arabia,Male,60-64 years,Diabetes mellitus type 2,Number,2019,10914.674744694858,15599.266979220696,7043.326016485474
YLDs (Years Lived with Disability),Saudi Arabia,Female,60-64 years,Diabetes mellitus type 2,Number,2019,6577.322487179576,9392.966339669902,4259.935687836604
YLDs (Years Lived with Disability),Saudi Arabia,Male,65-69 years,Diabetes mellitus type 2,Number,2019,8384.636972240085,12135.310880845842,5381.840945977412
YLDs (Years Lived with Disability),Saudi Arabia,Female,65-69 years,Diabetes mellitus type 2,Number,2019,4663.247665713416,6717.519864737379,2997.845225525939
YLDs (Years Lived with Disability),Saudi Arabia,Male,70-74 years,Diabetes mellitus type 2,Number,2019,5488.425986963371,7879.968951479805,3524.531198556242
YLDs (Years Lived with Disability),Saudi Arabia,Female,70-74 years,Diabetes mellitus type 2,Number,2019,2824.892505893238,4078.167319019264,1843.7303442657035
YLDs (Years Lived with Disability),Saudi Arabia,Male,75-79 years,Diabetes mellitus type 2,Number,2019,2716.307824283831,3798.206554092396,1826.9304718124763
YLDs (Years Lived with Disability),Saudi Arabia,Female,75-79 years,Diabetes mellitus type 2,Number,2019,1471.4232114140796,2059.6059142812915,983.1135126383128
YLDs (Years Lived with Disability),Saudi Arabia,Male,<5 years,Breast cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,<5 years,Breast cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,5-9 years,Breast cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,5-9 years,Breast cancer,Number,2019,0.0,0.0,0.0
